Device Name,4R
Device Model,Kestrel DROP 2
Serial Number,3076484
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°C,%,°C,°C
2000-01-01 12:10:00 AM,24.5,30.1,22.6,5.8,point
2000-01-01 12:20:00 AM,23.6,32.4,22.1,6.1,point
2000-01-01 12:30:00 AM,23.3,34.2,21.9,6.7,point
2000-01-01 12:40:00 AM,23.1,33.9,21.7,6.3,point
2000-01-01 12:50:00 AM,23.1,35.1,21.7,6.8,point
2000-01-01 01:00:00 AM,23.0,34.0,21.5,6.3,point
2000-01-01 01:10:00 AM,22.9,35.1,21.6,6.7,point
2000-01-01 01:20:00 AM,22.9,35.7,21.6,7.0,point
2000-01-01 01:30:00 AM,22.9,34.6,21.6,6.5,point
2000-01-01 01:40:00 AM,23.9,34.1,22.3,7.1,point
2000-01-01 01:50:00 AM,23.4,34.0,22.0,6.7,point
2025-07-09 02:30:00 PM,25.2,60.6,25.3,17.0,point
2025-07-09 03:00:00 PM,23.6,67.0,23.8,17.1,point
2025-07-09 03:30:00 PM,23.2,73.8,23.9,18.3,point
2025-07-09 04:00:00 PM,23.0,74.7,23.5,18.2,point
2025-07-09 04:30:00 PM,22.9,65.1,23.1,16.0,point
2025-07-09 05:00:00 PM,22.1,85.8,23.0,19.6,point
2025-07-09 05:30:00 PM,21.6,87.8,22.5,19.5,point
2025-07-09 06:00:00 PM,21.0,88.6,21.8,19.1,point
2025-07-09 06:30:00 PM,20.5,88.6,21.2,18.6,point
2025-07-09 07:00:00 PM,20.1,88.5,20.6,18.1,point
2025-07-09 07:30:00 PM,19.6,88.6,20.1,17.7,point
2025-07-09 08:00:00 PM,18.5,91.2,18.9,17.1,point
2025-07-09 08:30:00 PM,18.0,91.7,18.2,16.6,point
2025-07-09 09:00:00 PM,17.5,92.9,17.9,16.4,point
2025-07-09 09:30:00 PM,17.0,93.0,17.4,15.9,point
2025-07-09 10:00:00 PM,16.9,93.9,17.3,15.9,point
2025-07-09 10:30:00 PM,16.9,94.2,17.3,15.9,point
2025-07-09 11:00:00 PM,16.8,94.8,17.3,16.0,point
2025-07-09 11:30:00 PM,16.9,95.1,17.3,16.1,point
2025-07-10 12:00:00 AM,16.8,94.8,17.3,16.0,point
2025-07-10 12:30:00 AM,16.8,95.0,17.3,16.0,point
2025-07-10 01:00:00 AM,19.2,95.2,19.8,18.4,point
2025-07-10 01:30:00 AM,19.4,92.7,19.9,18.1,point
2025-07-10 02:00:00 AM,19.4,92.4,20.0,18.1,point
2025-07-10 02:30:00 AM,19.4,92.3,20.0,18.1,point
2025-07-10 03:00:00 AM,19.5,92.1,20.0,18.1,point
2025-07-10 03:30:00 AM,19.5,92.0,20.0,18.1,point
2025-07-10 04:00:00 AM,19.5,91.6,20.0,18.1,point
2025-07-10 04:30:00 AM,19.5,91.0,20.0,18.0,point
2025-07-10 05:00:00 AM,19.5,91.2,20.0,18.0,point
2025-07-10 05:30:00 AM,19.4,91.3,20.0,18.0,point
2025-07-10 06:00:00 AM,19.5,91.4,20.0,18.0,point
2025-07-10 06:30:00 AM,19.5,91.3,20.0,18.0,point
2025-07-10 07:00:00 AM,19.5,91.2,20.1,18.0,point
2025-07-10 07:30:00 AM,19.5,90.7,20.0,17.9,point
2025-07-10 08:00:00 AM,19.9,92.5,20.6,18.7,point
2025-07-10 08:30:00 AM,20.3,92.7,21.1,19.1,point
2025-07-10 09:00:00 AM,20.8,92.5,21.5,19.5,point
2025-07-10 09:30:00 AM,21.3,92.7,22.1,20.0,point
2025-07-10 10:00:00 AM,21.6,91.8,22.6,20.2,point
2025-07-10 10:30:00 AM,21.9,91.4,23.0,20.5,point
2025-07-10 11:00:00 AM,22.3,90.8,23.5,20.7,point
2025-07-10 11:30:00 AM,22.6,90.4,23.9,21.0,point
2025-07-10 12:00:00 PM,22.9,89.6,24.2,21.1,point
2025-07-10 12:30:00 PM,23.3,88.6,24.6,21.3,point
2025-07-10 01:00:00 PM,23.6,87.4,25.1,21.4,point
2025-07-10 01:30:00 PM,24.0,85.7,25.5,21.5,point
2025-07-10 02:00:00 PM,24.1,83.8,25.5,21.2,point
2025-07-10 02:30:00 PM,23.9,86.9,25.3,21.6,point
2025-07-10 03:00:00 PM,23.7,83.9,24.9,20.8,point
2025-07-10 03:30:00 PM,23.6,82.4,24.7,20.4,point
2025-07-10 04:00:00 PM,23.3,80.5,24.2,19.7,point
2025-07-10 04:30:00 PM,22.9,80.0,23.8,19.3,point
2025-07-10 05:00:00 PM,22.6,79.2,23.3,18.8,point
2025-07-10 05:30:00 PM,22.2,78.7,22.8,18.3,point
2025-07-10 06:00:00 PM,21.6,78.4,22.2,17.7,point
2025-07-10 06:30:00 PM,21.2,78.4,21.5,17.2,point
2025-07-10 07:00:00 PM,20.6,78.5,20.8,16.7,point
2025-07-10 07:30:00 PM,20.2,79.0,20.4,16.4,point
2025-07-10 08:00:00 PM,19.0,81.7,19.0,15.8,point
2025-07-10 08:30:00 PM,18.4,82.3,18.3,15.4,point
2025-07-10 09:00:00 PM,18.0,83.1,18.0,15.1,point
2025-07-10 09:30:00 PM,17.6,83.7,17.5,14.8,point
2025-07-10 10:00:00 PM,17.4,84.3,17.3,14.7,point
2025-07-10 10:30:00 PM,17.4,86.0,17.3,15.0,point
2025-07-10 11:00:00 PM,17.3,87.0,17.4,15.2,point
2025-07-10 11:30:00 PM,17.3,87.3,17.4,15.2,point
2025-07-11 12:00:00 AM,17.4,88.6,17.5,15.4,point
2025-07-11 12:30:00 AM,17.3,88.9,17.4,15.4,point
2025-07-11 01:00:00 AM,19.5,86.0,19.8,17.1,point
2025-07-11 01:30:00 AM,19.8,84.2,20.0,17.1,point
2025-07-11 02:00:00 AM,19.9,84.7,20.3,17.2,point
2025-07-11 02:30:00 AM,20.0,84.6,20.3,17.3,point
2025-07-11 03:00:00 AM,19.9,85.2,20.3,17.4,point
2025-07-11 03:30:00 AM,20.0,84.9,20.3,17.4,point
2025-07-11 04:00:00 AM,20.0,85.2,20.3,17.4,point
2025-07-11 04:30:00 AM,20.0,85.2,20.4,17.4,point
2025-07-11 05:00:00 AM,20.1,85.8,20.4,17.6,point
2025-07-11 05:30:00 AM,20.0,86.1,20.4,17.6,point
2025-07-11 06:00:00 AM,20.0,86.0,20.4,17.6,point
2025-07-11 06:30:00 AM,20.1,86.3,20.5,17.7,point
2025-07-11 07:00:00 AM,20.0,86.2,20.4,17.6,point
2025-07-11 07:30:00 AM,20.1,86.1,20.4,17.7,point
2025-07-11 08:00:00 AM,20.3,87.0,20.9,18.1,point
2025-07-11 08:30:00 AM,20.7,86.7,21.4,18.4,point
2025-07-11 09:00:00 AM,21.1,85.9,21.8,18.6,point
2025-07-11 09:30:00 AM,21.5,84.5,22.1,18.7,point
2025-07-11 10:00:00 AM,21.9,83.8,22.6,19.0,point
2025-07-11 10:30:00 AM,22.1,82.9,23.0,19.1,point
2025-07-11 11:00:00 AM,22.4,82.9,23.3,19.4,point
2025-07-11 11:30:00 AM,22.8,82.4,23.7,19.6,point
2025-07-11 12:00:00 PM,23.1,81.8,24.1,19.8,point
2025-07-11 12:30:00 PM,23.7,76.2,24.5,19.2,point
2025-07-11 01:00:00 PM,23.4,94.8,25.1,22.5,point
2025-07-11 01:30:00 PM,23.6,95.4,25.6,22.9,point
2025-07-11 02:00:00 PM,23.6,95.3,25.6,22.8,point
2025-07-11 02:30:00 PM,23.1,94.4,24.8,22.2,point
2025-07-11 03:00:00 PM,23.0,95.0,24.6,22.1,point
2025-07-11 03:30:00 PM,22.6,93.9,24.0,21.5,point
2025-07-11 04:00:00 PM,22.3,94.3,23.5,21.3,point
2025-07-11 04:30:00 PM,21.9,93.5,22.9,20.8,point
2025-07-11 05:00:00 PM,21.6,93.8,22.6,20.6,point
2025-07-11 05:30:00 PM,21.0,92.7,21.9,19.8,point
2025-07-11 06:00:00 PM,20.6,92.7,21.3,19.4,point
2025-07-11 06:30:00 PM,20.2,92.9,20.9,19.0,point
2025-07-11 07:00:00 PM,19.7,92.4,20.4,18.4,point
2025-07-11 07:30:00 PM,19.3,92.0,19.8,17.9,point
2025-07-11 08:00:00 PM,18.5,94.7,19.1,17.6,point
2025-07-11 08:30:00 PM,17.9,94.9,18.3,17.1,point
2025-07-11 09:00:00 PM,17.5,95.7,18.1,16.8,point
2025-07-11 09:30:00 PM,17.0,95.4,17.5,16.3,point
2025-07-11 10:00:00 PM,16.9,96.6,17.5,16.4,point
2025-07-11 10:30:00 PM,16.8,96.7,17.3,16.3,point
2025-07-11 11:00:00 PM,16.9,97.5,17.4,16.5,point
2025-07-11 11:30:00 PM,16.9,97.2,17.5,16.5,point
2025-07-12 12:00:00 AM,16.9,97.4,17.5,16.5,point
2025-07-12 12:30:00 AM,17.0,97.4,17.6,16.6,point
2025-07-12 01:00:00 AM,19.0,97.6,19.7,18.6,point
2025-07-12 01:30:00 AM,19.2,95.3,19.8,18.4,point
2025-07-12 02:00:00 AM,19.2,94.9,19.9,18.4,point
2025-07-12 02:30:00 AM,19.2,94.3,19.9,18.3,point
2025-07-12 03:00:00 AM,19.2,94.5,19.9,18.3,point
2025-07-12 03:30:00 AM,19.2,93.3,19.7,18.1,point
2025-07-12 04:00:00 AM,19.2,93.9,19.9,18.2,point
2025-07-12 04:30:00 AM,19.2,93.7,19.8,18.2,point
2025-07-12 05:00:00 AM,19.4,93.3,19.9,18.2,point
2025-07-12 05:30:00 AM,19.4,93.5,19.9,18.3,point
2025-07-12 06:00:00 AM,19.3,93.0,19.9,18.2,point
2025-07-12 06:30:00 AM,19.3,93.0,19.8,18.1,point
2025-07-12 07:00:00 AM,19.4,93.3,19.9,18.3,point
2025-07-12 07:30:00 AM,19.4,93.4,19.9,18.3,point
2025-07-12 08:00:00 AM,19.7,94.3,20.4,18.7,point
2025-07-12 08:30:00 AM,20.2,95.3,20.9,19.4,point
2025-07-12 09:00:00 AM,20.6,95.5,21.4,19.8,point
2025-07-12 09:30:00 AM,21.1,95.9,22.1,20.4,point
2025-07-12 10:00:00 AM,21.4,95.5,22.4,20.7,point
2025-07-12 10:30:00 AM,21.7,95.1,22.8,20.9,point
2025-07-12 11:00:00 AM,22.1,95.3,23.3,21.3,point
2025-07-12 11:30:00 AM,22.4,95.4,23.7,21.6,point
2025-07-12 12:00:00 PM,22.7,95.4,24.3,21.9,point
2025-07-12 12:30:00 PM,23.0,94.9,24.7,22.1,point
2025-07-12 01:00:00 PM,23.3,94.9,25.1,22.5,point
2025-07-12 01:30:00 PM,23.8,94.8,25.6,22.9,point
2025-07-12 02:00:00 PM,23.8,93.1,25.5,22.6,point
2025-07-12 02:30:00 PM,23.6,92.5,25.3,22.3,point
2025-07-12 03:00:00 PM,23.3,91.6,24.8,21.8,point
2025-07-12 03:30:00 PM,23.0,91.0,24.5,21.4,point
2025-07-12 04:00:00 PM,22.8,90.4,24.1,21.1,point
2025-07-12 04:30:00 PM,22.4,89.5,23.4,20.6,point
2025-07-12 05:00:00 PM,22.1,88.9,23.0,20.2,point
2025-07-12 05:30:00 PM,21.5,88.3,22.4,19.5,point
2025-07-12 06:00:00 PM,21.2,88.2,21.9,19.1,point
2025-07-12 06:30:00 PM,20.6,88.0,21.1,18.5,point
2025-07-12 07:00:00 PM,20.2,87.9,20.8,18.1,point
2025-07-12 07:30:00 PM,19.7,87.3,20.0,17.5,point
2025-07-12 08:00:00 PM,18.8,89.7,19.0,17.0,point
2025-07-12 08:30:00 PM,18.3,90.1,18.5,16.6,point
2025-07-12 09:00:00 PM,17.8,90.1,18.0,16.1,point
2025-07-12 09:30:00 PM,17.2,89.9,17.4,15.6,point
2025-07-12 10:00:00 PM,17.1,90.5,17.4,15.5,point
2025-07-12 10:30:00 PM,17.0,90.6,17.3,15.5,point
